	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
213	DB08804	0.8571	0.4853	0.2353	0.5384	0.3446	0.1296	0.75	0.3684	6	5321018	
214	DB08905	0.8286	0.537	0.3148	0.5922	0.4314	0.1154	0.7073	0.4207	6	5321018	
215	DB09070	0.8406	0.5405	0.3063	0.4769	0.3793	0.1333	0.725	0.3131	6	5321018	
216	DB09123	0.7778	0.5536	0.3214	0.5977	0.376	0.1748	0.6364	0.4263	6	5321018	
217	DB09371	0.8235	0.5138	0.2752	0.4769	0.354	0.1176	0.7	0.3131	6	5321018	
218	DB11372	0.8235	0.5357	0.3393	0.6084	0.4048	0.0971	0.7	0.4372	6	5321018	
219	DB11429	0.8406	0.537	0.3148	0.4873	0.4201	0.098	0.725	0.3222	6	5321018	
220	DB11551	0.8182	0.5577	0.3269	0.6143	0.4206	0.1053	0.6923	0.4433	6	5321018	
221	DB11619	0.7647	0.5179	0.3036	0.5925	0.332	0.0952	0.619	0.421	6	5321018	
222	DB12025	0.8049	0.55	0.3333	0.6229	0.4206	0.169	0.6735	0.4523	6	5321018	
223	DB12112	0.6885	0.5893	0.2679	0.5141	0.3652	0.1053	0.525	0.3459	6	5321018	
224	DB12131	0.5882	0.4426	0.3115	0.4974	0.4519	0.2105	0.4167	0.3311	6	5321018	
225	DB12601	0.7333	0.4533	0.2667	0.5901	0.3788	0.1185	0.5789	0.4186	6	5321018	
226	DB12637	0.6591	0.4286	0.2857	0.5503	0.3226	0.096	0.4915	0.3796	6	5321018	
227	DB12787	0.8286	0.5321	0.2936	0.4883	0.3744	0.1176	0.7073	0.323	6	5321018	
228	DB13097	0.7671	0.4848	0.303	0.5423	0.3391	0.2453	0.6222	0.3721	6	5321018	
229	DB13129	0.8286	0.5517	0.3276	0.5905	0.4138	0.1651	0.7073	0.419	6	5321018	
230	DB13169	0.8358	0.5385	0.2885	0.4866	0.396	0.1263	0.7179	0.3215	6	5321018	
231	DB13185	0.7945	0.4662	0.2406	0.6086	0.3556	0.1391	0.6591	0.4374	6	5321018	
232	DB13230	0.8169	0.5405	0.2883	0.4956	0.3755	0.1143	0.6905	0.3295	6	5321018	
233	DB13374	0.5532	0.4132	0.281	0.4846	0.4143	0.1186	0.3824	0.3198	6	5321018	
234	DB13458	0.6897	0.4407	0.3051	0.5033	0.5397	0.193	0.5263	0.3363	6	5321018	
235	DB13484	0.8923	0.541	0.2951	0.5956	0.4462	0.1081	0.8056	0.4241	6	5321018	
